Grid,Difficulty,Story,Clues,Table,Options,Puzzle
3x4,Easy,"The Abbeville K-9 Academy trains dogs for use by a number of different county police forces.  Using only the clues below, match each of their most recent ""students"" to the month in which they graduated and the name of the officer and county to which they were assigned. Remember, as with all grid-based logic puzzles, no option in any category will ever be used more than once.  If you get stuck or run into problems, try the ""Clear Errors"" button to remove any mistakes that might be present on the grid, or the ""Hint"" button to see the next logical step in the puzzle.","1.The canine that graduated in May was either the dog assigned to Officer Salinas or the dog assigned to Officer Quinn.
2.Barca graduated in April.
3.The K-9 unit assigned to Officer Lyons graduated 1 month before the K-9 unit assigned to Officer Daugherty.
4.The four dogs were the K-9 unit assigned to Officer Lyons, the dog that graduated in June, Jaws and the K-9 unit that graduated in April.
5.The canine assigned to Officer Salinas was either Hercules or Barca.","+----------+--------+------------+
| Months   | Dogs   | Officers   |
+==========+========+============+
| March    |        |            |
+----------+--------+------------+
| April    |        |            |
+----------+--------+------------+
| May      |        |            |
+----------+--------+------------+
| June     |        |            |
+----------+--------+------------+","Dogs: Aries, Barca, Hercules, Jaws
Officers: Daugherty, Lyons, Quinn, Salinas","
Story:
The Abbeville K-9 Academy trains dogs for use by a number of different county police forces.  Using only the clues below, match each of their most recent ""students"" to the month in which they graduated and the name of the officer and county to which they were assigned. Remember, as with all grid-based logic puzzles, no option in any category will ever be used more than once.  If you get stuck or run into problems, try the ""Clear Errors"" button to remove any mistakes that might be present on the grid, or the ""Hint"" button to see the next logical step in the puzzle.

Clues:
1.The canine that graduated in May was either the dog assigned to Officer Salinas or the dog assigned to Officer Quinn.
2.Barca graduated in April.
3.The K-9 unit assigned to Officer Lyons graduated 1 month before the K-9 unit assigned to Officer Daugherty.
4.The four dogs were the K-9 unit assigned to Officer Lyons, the dog that graduated in June, Jaws and the K-9 unit that graduated in April.
5.The canine assigned to Officer Salinas was either Hercules or Barca.

Solve the grid puzzle by filling the table:
+----------+--------+------------+
| Months   | Dogs   | Officers   |
+==========+========+============+
| March    |        |            |
+----------+--------+------------+
| April    |        |            |
+----------+--------+------------+
| May      |        |            |
+----------+--------+------------+
| June     |        |            |
+----------+--------+------------+

Use the clues to fill the table with the following categories:
Dogs: Aries, Barca, Hercules, Jaws
Officers: Daugherty, Lyons, Quinn, Salinas"
3x4,Easy,"The Maplewood Canine Training Center prepares service animals for various city departments. Using only the clues below, match each of their latest ""graduates"" to the month they completed training and the department they were assigned to. Remember, as with all grid-based logic puzzles, no option in any category will ever be used more than once. If you get stuck or run into problems, try the ""Clear Errors"" button to remove any mistakes that might be present on the grid, or the ""Hint"" button to see the next logical step in the puzzle.","1.The animal that finished training in June was either assigned to the Fire Department or the Police Department.
2.Zephyr completed training in March.
3.The service animal assigned to the Animal Control Department finished training 1 month before the one assigned to the Parks Department.
4.The four animals were the one assigned to the Animal Control Department, the animal that graduated in April, Tornado and the one that graduated in May.
5.The animal assigned to the Police Department was either Thunder or Zephyr.",,,"Story:
The Maplewood Canine Training Center prepares service animals for various city departments. Using only the clues below, match each of their latest ""graduates"" to the month they completed training and the department they were assigned to. Remember, as with all grid-based logic puzzles, no option in any category will ever be used more than once. If you get stuck or run into problems, try the ""Clear Errors"" button to remove any mistakes that might be present on the grid, or the ""Hint"" button to see the next logical step in the puzzle.

Clues:
1.The animal that finished training in June was either assigned to the Fire Department or the Police Department.
2.Zephyr completed training in March.
3.The service animal assigned to the Animal Control Department finished training 1 month before the one assigned to the Parks Department.
4.The four animals were the one assigned to the Animal Control Department, the animal that graduated in April, Tornado and the one that graduated in May.
5.The animal assigned to the Police Department was either Thunder or Zephyr.

Solve the grid puzzle by filling the table:
+----------+--------+------------+
| Months   | Dogs   | Departments |
+==========+========+============+
| March    |        |            |
+----------+--------+------------+
| April    |        |            |
+----------+--------+------------+
| May      |        |            |
+----------+--------+------------+
| June     |        |            |
+----------+--------+------------+

Use the clues to fill the table with the following categories:
Dogs: Tornado, Zephyr, Thunder, Aries
Departments: Parks, Fire, Police, Animal Control"
3x4,Easy,"The Byronville Gaming Club holds one ""game night"" each month, at which a number of members gather to play a different board game.  Using only the clues that follow, match each game to the month in which it was played and the person who hosted the event, and determine how many total players were at each game night. Remember, as with all grid-based logic puzzles, no option in any category will ever be used more than once.  If you get stuck or run into problems, try the ""Clear Errors"" button to remove any mistakes that might be present on the grid, or the ""Hint"" button to see the next logical step in the puzzle.","1.The board game played in January was hosted by Wendy.
2.Rules of War was hosted by Bonnie.
3.The board game hosted at Wendy's house was either Android Disco or the game played in April.
4.The game hosted at Vera's house was played 2 months after Planets Align.","+----------+---------+---------+
| Months   | Games   | Hosts   |
+==========+=========+=========+
| January  |         |         |
+----------+---------+---------+
| February |         |         |
+----------+---------+---------+
| March    |         |         |
+----------+---------+---------+
| April    |         |         |
+----------+---------+---------+","Games: Android Disco, Planets Align, Rules of War, Vendetta
Hosts: Adrian, Bonnie, Vera, Wendy","
Story:
The Byronville Gaming Club holds one ""game night"" each month, at which a number of members gather to play a different board game.  Using only the clues that follow, match each game to the month in which it was played and the person who hosted the event, and determine how many total players were at each game night. Remember, as with all grid-based logic puzzles, no option in any category will ever be used more than once.  If you get stuck or run into problems, try the ""Clear Errors"" button to remove any mistakes that might be present on the grid, or the ""Hint"" button to see the next logical step in the puzzle.

Clues:
1.The board game played in January was hosted by Wendy.
2.Rules of War was hosted by Bonnie.
3.The board game hosted at Wendy's house was either Android Disco or the game played in April.
4.The game hosted at Vera's house was played 2 months after Planets Align.

Solve the grid puzzle by filling the table:
+----------+---------+---------+
| Months   | Games   | Hosts   |
+==========+=========+=========+
| January  |         |         |
+----------+---------+---------+
| February |         |         |
+----------+---------+---------+
| March    |         |         |
+----------+---------+---------+
| April    |         |         |
+----------+---------+---------+

Use the clues to fill the table with the following categories:
Games: Android Disco, Planets Align, Rules of War, Vendetta
Hosts: Adrian, Bonnie, Vera, Wendy"
3x4,Easy,"The Maplewood Puzzle Society hosts a monthly ""strategy night"" where members gather to play different puzzle games. Using only the clues that follow, match each game to the month it was played and the person who hosted the event, and determine how many total players attended each strategy night. Remember, as with all grid-based logic puzzles, no option in any category will ever be used more than once. If you get stuck or run into problems, try the ""Clear Errors"" button to remove any mistakes that might be present on the grid, or the ""Hint"" button to see the next logical step in the puzzle.","1.The puzzle game played in March was hosted by Ethan.
2.Rules of Labyrinth was hosted by Claire.
3.The puzzle game hosted at Liam's house was either Quantum Quest or the game played in June.
4.The game hosted at Sophie's house was played 2 months after Mind Maze.",,,"Story:
The Maplewood Puzzle Society hosts a monthly ""strategy night"" where members gather to play different puzzle games. Using only the clues that follow, match each game to the month it was played and the person who hosted the event, and determine how many total players attended each strategy night. Remember, as with all grid-based logic puzzles, no option in any category will ever be used more than once. If you get stuck or run into problems, try the ""Clear Errors"" button to remove any mistakes that might be present on the grid, or the ""Hint"" button to see the next logical step in the puzzle.

Clues:
1.The puzzle game played in March was hosted by Ethan.
2.Rules of Labyrinth was hosted by Claire.
3.The puzzle game hosted at Liam's house was either Quantum Quest or the game played in June.
4.The game hosted at Sophie's house was played 2 months after Mind Maze.

Solve the grid puzzle by filling the table:
+----------+---------+---------+
| Months   | Games   | Hosts   |
+==========+=========+=========+
| January  |         |         |
+----------+---------+---------+
| February |         |         |
+----------+---------+---------+
| March    |         |         |
+----------+---------+---------+
| April    |         |         |
+----------+---------+---------+

Use the clues to fill the table with the following categories:
Games: Quantum Quest, Mind Maze, Rules of Labyrinth, Puzzle Master
Hosts: Claire, Ethan, Liam, Sophie"
3x4,Easy,"Mayor Price has promised to get the streets of Victorville back in ship-shape condition this year with a series of road improvement projects.  Using only the clues that follow, determine each project's location, budget, manager and starting month. Remember, as with all grid-based logic puzzles, no option in any category will ever be used more than once.  If you get stuck or run into problems, try the ""Clear Errors"" button to remove any mistakes that might be present on the grid, or the ""Hint"" button to see the next logical step in the puzzle.","1.The four projects are the job starting in July, Bill Bonner's project, Irma Ingram's project and the Russell Road project.
2.The Willow Street project will be headed by Hal Hamilton.
3.The Ivy Street project begins 1 month before Cal Craft's project.
4.The Ivy Street project starts in April.
5.The job starting in April is either the Russell Road project or Bill Bonner's project.","+----------+-----------+-----------+
| Months   | Streets   | Mangers   |
+==========+===========+===========+
| April    |           |           |
+----------+-----------+-----------+
| May      |           |           |
+----------+-----------+-----------+
| June     |           |           |
+----------+-----------+-----------+
| July     |           |           |
+----------+-----------+-----------+","Streets: Ivy Street, Juniper Lane, Russell Road, Willow Street
Mangers: Bill Bonner, Cal Craft, Hal Hamilton, Irma Ingram","
Story:
Mayor Price has promised to get the streets of Victorville back in ship-shape condition this year with a series of road improvement projects.  Using only the clues that follow, determine each project's location, budget, manager and starting month. Remember, as with all grid-based logic puzzles, no option in any category will ever be used more than once.  If you get stuck or run into problems, try the ""Clear Errors"" button to remove any mistakes that might be present on the grid, or the ""Hint"" button to see the next logical step in the puzzle.

Clues:
1.The four projects are the job starting in July, Bill Bonner's project, Irma Ingram's project and the Russell Road project.
2.The Willow Street project will be headed by Hal Hamilton.
3.The Ivy Street project begins 1 month before Cal Craft's project.
4.The Ivy Street project starts in April.
5.The job starting in April is either the Russell Road project or Bill Bonner's project.

Solve the grid puzzle by filling the table:
+----------+-----------+-----------+
| Months   | Streets   | Mangers   |
+==========+===========+===========+
| April    |           |           |
+----------+-----------+-----------+
| May      |           |           |
+----------+-----------+-----------+
| June     |           |           |
+----------+-----------+-----------+
| July     |           |           |
+----------+-----------+-----------+

Use the clues to fill the table with the following categories:
Streets: Ivy Street, Juniper Lane, Russell Road, Willow Street
Mangers: Bill Bonner, Cal Craft, Hal Hamilton, Irma Ingram"
3x4,Easy,"City Council member Lena Torres has pledged to revitalize the neighborhoods of Maplewood this year through a series of community development initiatives. Using only the clues that follow, determine each initiative's location, budget allocation, coordinator and starting quarter. Remember, as with all grid-based logic puzzles, no option in any category will ever be used more than once. If you get stuck or run into problems, try the ""Clear Errors"" button to remove any mistakes that might be present on the grid, or the ""Hint"" button to see the next logical step in the puzzle.","1.The four initiatives are the one starting in Q2, Alex Rivera's initiative, Cindy Moore's initiative and the Pine Avenue initiative.
2.The Oak Street initiative will be coordinated by David Kim.
3.The Maple Lane initiative begins 1 quarter before Dana Lee's initiative.
4.The Maple Lane initiative starts in Q1.
5.The initiative starting in Q1 is either the Pine Avenue initiative or Alex Rivera's initiative.",,,"Story:
City Council member Lena Torres has pledged to revitalize the neighborhoods of Maplewood this year through a series of community development initiatives. Using only the clues that follow, determine each initiative's location, budget allocation, coordinator and starting quarter. Remember, as with all grid-based logic puzzles, no option in any category will ever be used more than once. If you get stuck or run into problems, try the ""Clear Errors"" button to remove any mistakes that might be present on the grid, or the ""Hint"" button to see the next logical step in the puzzle.

Clues:
1.The four initiatives are the one starting in Q2, Alex Rivera's initiative, Cindy Moore's initiative and the Pine Avenue initiative.
2.The Oak Street initiative will be coordinated by David Kim.
3.The Maple Lane initiative begins 1 quarter before Dana Lee's initiative.
4.The Maple Lane initiative starts in Q1.
5.The initiative starting in Q1 is either the Pine Avenue initiative or Alex Rivera's initiative.

Solve the grid puzzle by filling the table:
+----------+-----------+-----------+
| Quarters | Locations | Coordinators |
+==========+===========+=============+
| Q1       |           |             |
+----------+-----------+-------------+
| Q2       |           |             |
+----------+-----------+-------------+
| Q3       |           |             |
+----------+-----------+-------------+
| Q4       |           |             |
+----------+-----------+-------------+

Use the clues to fill the table with the following categories:
Locations: Maple Lane, Birch Road, Pine Avenue, Oak Street
Coordinators: Alex Rivera, Dana Lee, David Kim, Cindy Moore"
3x4,Easy,"A number of new space probes were launched this year, each from a different country.  Using only the clues that follow, match each probe to the country that launched it, and determine the month it launched and its eventual destination. Remember, as with all grid-based logic puzzles, no option in any category will ever be used more than once.  If you get stuck or run into problems, try the ""Clear Errors"" button to remove any mistakes that might be present on the grid, or the ""Hint"" button to see the next logical step in the puzzle.","1.The Loakuk launched in April.
2.The Iunsel launched 2 months after the mission going to Titan.
3.The Loakuk is either the probe that launched in March or the mission going to Mars.
4.The Raiukan is going to Europa.","+----------+----------+----------------+
| Months   | Probes   | Destinations   |
+==========+==========+================+
| January  |          |                |
+----------+----------+----------------+
| February |          |                |
+----------+----------+----------------+
| March    |          |                |
+----------+----------+----------------+
| April    |          |                |
+----------+----------+----------------+","Probes: Iunsel, Loakuk, Raiukan, Varo
Destinations: Europa, Ganymede, Mars, Titan","
Story:
A number of new space probes were launched this year, each from a different country.  Using only the clues that follow, match each probe to the country that launched it, and determine the month it launched and its eventual destination. Remember, as with all grid-based logic puzzles, no option in any category will ever be used more than once.  If you get stuck or run into problems, try the ""Clear Errors"" button to remove any mistakes that might be present on the grid, or the ""Hint"" button to see the next logical step in the puzzle.

Clues:
1.The Loakuk launched in April.
2.The Iunsel launched 2 months after the mission going to Titan.
3.The Loakuk is either the probe that launched in March or the mission going to Mars.
4.The Raiukan is going to Europa.

Solve the grid puzzle by filling the table:
+----------+----------+----------------+
| Months   | Probes   | Destinations   |
+==========+==========+================+
| January  |          |                |
+----------+----------+----------------+
| February |          |                |
+----------+----------+----------------+
| March    |          |                |
+----------+----------+----------------+
| April    |          |                |
+----------+----------+----------------+

Use the clues to fill the table with the following categories:
Probes: Iunsel, Loakuk, Raiukan, Varo
Destinations: Europa, Ganymede, Mars, Titan"
3x4,Easy,"A group of four underwater drones were deployed in different months, each from a distinct research team. Using only the clues that follow, match each drone to the research team that launched it, and determine the month it was deployed and its target oceanic zone. Remember, as with all grid-based logic puzzles, no option in any category will ever be used more than once. If you get stuck or run into problems, try the ""Clear Errors"" button to remove any mistakes that might be present on the grid, or the ""Hint"" button to see the next logical step in the puzzle.","1.The Nereus drone was deployed in May.
2.The Aquarius drone was launched 3 months after the mission targeting the Mariana Trench.
3.The Nereus is either the drone that was deployed in June or the one heading to the Arctic Circle.
4.The Oceanis team is targeting the Great Barrier Reef.",,,"Story:
A group of four underwater drones were deployed in different months, each from a distinct research team. Using only the clues that follow, match each drone to the research team that launched it, and determine the month it was deployed and its target oceanic zone. Remember, as with all grid-based logic puzzles, no option in any category will ever be used more than once. If you get stuck or run into problems, try the ""Clear Errors"" button to remove any mistakes that might be present on the grid, or the ""Hint"" button to see the next logical step in the puzzle.

Clues:
1.The Nereus drone was deployed in May.
2.The Aquarius drone was launched 3 months after the mission targeting the Mariana Trench.
3.The Nereus is either the drone that was deployed in June or the one heading to the Arctic Circle.
4.The Oceanis team is targeting the Great Barrier Reef.

Solve the grid puzzle by filling the table:
+----------+----------+----------------+
| Months   | Drones   | Zones           |
+==========+==========+================+
| January  |          |                |
+----------+----------+----------------+
| February |          |                |
+----------+----------+----------------+
| March    |          |                |
+----------+----------+----------------+
| April    |          |                |
+----------+----------+----------------+

Use the clues to fill the table with the following categories:
Drones: Aquarius, Nereus, Oceanis, Trencher
Zones: Arctic Circle, Great Barrier Reef, Mariana Trench, Tropical Coral Reefs"
3x4,Easy,"The Willowbrook Museum has borrowed antique dolls from private collectors for its holiday exhibit, and curator Nora is cataloging each one before the opening.  Determine the age of each doll, its country of origin, the material its head is made from, and the collector who owns it. Remember, as with all grid-based logic puzzles, no option in any category will ever be used more than once.  If you get stuck or run into problems, try the ""Clear Errors"" button to remove any mistakes that might be present on the grid, or the ""Hint"" button to see the next logical step in the puzzle.","1.The piece from Germany is 10 years older than the wax piece.
2.The doll from France has a glass head.
3.The figure from Japan is 5 years younger than the glass figure.
4.The figure from England has a papier-mache head.
5.The figure from England is somewhat older than the piece from Japan.","+--------+-----------+-------------+
|   Ages | Origins   | Materials   |
+========+===========+=============+
|     75 |           |             |
+--------+-----------+-------------+
|     80 |           |             |
+--------+-----------+-------------+
|     85 |           |             |
+--------+-----------+-------------+
|     90 |           |             |
+--------+-----------+-------------+","Origins: England, France, Germany, Japan
Materials: glass, papier-mache, porcelain, wax","
Story:
The Willowbrook Museum has borrowed antique dolls from private collectors for its holiday exhibit, and curator Nora is cataloging each one before the opening.  Determine the age of each doll, its country of origin, the material its head is made from, and the collector who owns it. Remember, as with all grid-based logic puzzles, no option in any category will ever be used more than once.  If you get stuck or run into problems, try the ""Clear Errors"" button to remove any mistakes that might be present on the grid, or the ""Hint"" button to see the next logical step in the puzzle.

Clues:
1.The piece from Germany is 10 years older than the wax piece.
2.The doll from France has a glass head.
3.The figure from Japan is 5 years younger than the glass figure.
4.The figure from England has a papier-mache head.
5.The figure from England is somewhat older than the piece from Japan.

Solve the grid puzzle by filling the table:
+--------+-----------+-------------+
|   Ages | Origins   | Materials   |
+========+===========+=============+
|     75 |           |             |
+--------+-----------+-------------+
|     80 |           |             |
+--------+-----------+-------------+
|     85 |           |             |
+--------+-----------+-------------+
|     90 |           |             |
+--------+-----------+-------------+

Use the clues to fill the table with the following categories:
Origins: England, France, Germany, Japan
Materials: glass, papier-mache, porcelain, wax"
3x4,Easy,"The Maplewood Art Gallery has borrowed vintage clocks from various collectors for its spring exhibit, and curator Liam is cataloging each one before the opening. Determine the age of each clock, its country of origin, the material its face is made from, and the collector who owns it. Remember, as with all grid-based logic puzzles, no option in any category will ever be used more than once. If you get stuck or run into problems, try the ""Clear Errors"" button to remove any mistakes that might be present on the grid, or the ""Hint"" button to see the next logical step in the puzzle.","1.The clock from Italy is 8 years older than the brass clock.
2.The timepiece from Spain has a ceramic face.
3.The clock from Switzerland is 4 years younger than the ceramic clock.
4.The clock from France has an enamel face.
5.The clock from Germany is somewhat older than the piece from Switzerland.",,,"Story:
The Maplewood Art Gallery has borrowed vintage clocks from various collectors for its spring exhibit, and curator Liam is cataloging each one before the opening. Determine the age of each clock, its country of origin, the material its face is made from, and the collector who owns it. Remember, as with all grid-based logic puzzles, no option in any category will ever be used more than once. If you get stuck or run into problems, try the ""Clear Errors"" button to remove any mistakes that might be present on the grid, or the ""Hint"" button to see the next logical step in the puzzle.

Clues:
1.The clock from Italy is 8 years older than the brass clock.
2.The timepiece from Spain has a ceramic face.
3.The clock from Switzerland is 4 years younger than the ceramic clock.
4.The clock from France has an enamel face.
5.The clock from Germany is somewhat older than the piece from Switzerland.

Solve the grid puzzle by filling the table:
+--------+-----------+-------------+
|   Ages | Origins   | Materials   |
+========+===========+=============+
|     68 |           |             |
+--------+-----------+-------------+
|     72 |           |             |
+--------+-----------+-------------+
|     76 |           |             |
+--------+-----------+-------------+
|     80 |           |             |
+--------+-----------+-------------+

Use the clues to fill the table with the following categories:
Origins: France, Germany, Italy, Spain
Materials: brass, ceramic, enamel, porcelain"
