Grid,Difficulty,Story,Clues,Table,Options,Puzzle
3x4,Easy,"The Abbeville K-9 Academy trains dogs for use by a number of different county police forces.  Using only the clues below, match each of their most recent ""students"" to the month in which they graduated and the name of the officer and county to which they were assigned. Remember, as with all grid-based logic puzzles, no option in any category will ever be used more than once.  If you get stuck or run into problems, try the ""Clear Errors"" button to remove any mistakes that might be present on the grid, or the ""Hint"" button to see the next logical step in the puzzle.","1.The canine that graduated in May was either the dog assigned to Officer Salinas or the dog assigned to Officer Quinn.
2.Barca graduated in April.
3.The K-9 unit assigned to Officer Lyons graduated 1 month before the K-9 unit assigned to Officer Daugherty.
4.The four dogs were the K-9 unit assigned to Officer Lyons, the dog that graduated in June, Jaws and the K-9 unit that graduated in April.
5.The canine assigned to Officer Salinas was either Hercules or Barca.","+----------+--------+------------+
| Months   | Dogs   | Officers   |
+==========+========+============+
| March    |        |            |
+----------+--------+------------+
| April    |        |            |
+----------+--------+------------+
| May      |        |            |
+----------+--------+------------+
| June     |        |            |
+----------+--------+------------+","Dogs: Aries, Barca, Hercules, Jaws
Officers: Daugherty, Lyons, Quinn, Salinas","
Story:
The Abbeville K-9 Academy trains dogs for use by a number of different county police forces.  Using only the clues below, match each of their most recent ""students"" to the month in which they graduated and the name of the officer and county to which they were assigned. Remember, as with all grid-based logic puzzles, no option in any category will ever be used more than once.  If you get stuck or run into problems, try the ""Clear Errors"" button to remove any mistakes that might be present on the grid, or the ""Hint"" button to see the next logical step in the puzzle.

Clues:
1.The canine that graduated in May was either the dog assigned to Officer Salinas or the dog assigned to Officer Quinn.
2.Barca graduated in April.
3.The K-9 unit assigned to Officer Lyons graduated 1 month before the K-9 unit assigned to Officer Daugherty.
4.The four dogs were the K-9 unit assigned to Officer Lyons, the dog that graduated in June, Jaws and the K-9 unit that graduated in April.
5.The canine assigned to Officer Salinas was either Hercules or Barca.

Solve the grid puzzle by filling the table:
+----------+--------+------------+
| Months   | Dogs   | Officers   |
+==========+========+============+
| March    |        |            |
+----------+--------+------------+
| April    |        |            |
+----------+--------+------------+
| May      |        |            |
+----------+--------+------------+
| June     |        |            |
+----------+--------+------------+

Use the clues to fill the table with the following categories:
Dogs: Aries, Barca, Hercules, Jaws
Officers: Daugherty, Lyons, Quinn, Salinas"
3x4,Easy,"The Byronville Gaming Club holds one ""game night"" each month, at which a number of members gather to play a different board game.  Using only the clues that follow, match each game to the month in which it was played and the person who hosted the event, and determine how many total players were at each game night. Remember, as with all grid-based logic puzzles, no option in any category will ever be used more than once.  If you get stuck or run into problems, try the ""Clear Errors"" button to remove any mistakes that might be present on the grid, or the ""Hint"" button to see the next logical step in the puzzle.","1.The board game played in January was hosted by Wendy.
2.Rules of War was hosted by Bonnie.
3.The board game hosted at Wendy's house was either Android Disco or the game played in April.
4.The game hosted at Vera's house was played 2 months after Planets Align.","+----------+---------+---------+
| Months   | Games   | Hosts   |
+==========+=========+=========+
| January  |         |         |
+----------+---------+---------+
| February |         |         |
+----------+---------+---------+
| March    |         |         |
+----------+---------+---------+
| April    |         |         |
+----------+---------+---------+","Games: Android Disco, Planets Align, Rules of War, Vendetta
Hosts: Adrian, Bonnie, Vera, Wendy","
Story:
The Byronville Gaming Club holds one ""game night"" each month, at which a number of members gather to play a different board game.  Using only the clues that follow, match each game to the month in which it was played and the person who hosted the event, and determine how many total players were at each game night. Remember, as with all grid-based logic puzzles, no option in any category will ever be used more than once.  If you get stuck or run into problems, try the ""Clear Errors"" button to remove any mistakes that might be present on the grid, or the ""Hint"" button to see the next logical step in the puzzle.

Clues:
1.The board game played in January was hosted by Wendy.
2.Rules of War was hosted by Bonnie.
3.The board game hosted at Wendy's house was either Android Disco or the game played in April.
4.The game hosted at Vera's house was played 2 months after Planets Align.

Solve the grid puzzle by filling the table:
+----------+---------+---------+
| Months   | Games   | Hosts   |
+==========+=========+=========+
| January  |         |         |
+----------+---------+---------+
| February |         |         |
+----------+---------+---------+
| March    |         |         |
+----------+---------+---------+
| April    |         |         |
+----------+---------+---------+

Use the clues to fill the table with the following categories:
Games: Android Disco, Planets Align, Rules of War, Vendetta
Hosts: Adrian, Bonnie, Vera, Wendy"
3x4,Easy,"Mayor Price has promised to get the streets of Victorville back in ship-shape condition this year with a series of road improvement projects.  Using only the clues that follow, determine each project's location, budget, manager and starting month. Remember, as with all grid-based logic puzzles, no option in any category will ever be used more than once.  If you get stuck or run into problems, try the ""Clear Errors"" button to remove any mistakes that might be present on the grid, or the ""Hint"" button to see the next logical step in the puzzle.","1.The four projects are the job starting in July, Bill Bonner's project, Irma Ingram's project and the Russell Road project.
2.The Willow Street project will be headed by Hal Hamilton.
3.The Ivy Street project begins 1 month before Cal Craft's project.
4.The Ivy Street project starts in April.
5.The job starting in April is either the Russell Road project or Bill Bonner's project.","+----------+-----------+-----------+
| Months   | Streets   | Mangers   |
+==========+===========+===========+
| April    |           |           |
+----------+-----------+-----------+
| May      |           |           |
+----------+-----------+-----------+
| June     |           |           |
+----------+-----------+-----------+
| July     |           |           |
+----------+-----------+-----------+","Streets: Ivy Street, Juniper Lane, Russell Road, Willow Street
Mangers: Bill Bonner, Cal Craft, Hal Hamilton, Irma Ingram","
Story:
Mayor Price has promised to get the streets of Victorville back in ship-shape condition this year with a series of road improvement projects.  Using only the clues that follow, determine each project's location, budget, manager and starting month. Remember, as with all grid-based logic puzzles, no option in any category will ever be used more than once.  If you get stuck or run into problems, try the ""Clear Errors"" button to remove any mistakes that might be present on the grid, or the ""Hint"" button to see the next logical step in the puzzle.

Clues:
1.The four projects are the job starting in July, Bill Bonner's project, Irma Ingram's project and the Russell Road project.
2.The Willow Street project will be headed by Hal Hamilton.
3.The Ivy Street project begins 1 month before Cal Craft's project.
4.The Ivy Street project starts in April.
5.The job starting in April is either the Russell Road project or Bill Bonner's project.

Solve the grid puzzle by filling the table:
+----------+-----------+-----------+
| Months   | Streets   | Mangers   |
+==========+===========+===========+
| April    |           |           |
+----------+-----------+-----------+
| May      |           |           |
+----------+-----------+-----------+
| June     |           |           |
+----------+-----------+-----------+
| July     |           |           |
+----------+-----------+-----------+

Use the clues to fill the table with the following categories:
Streets: Ivy Street, Juniper Lane, Russell Road, Willow Street
Mangers: Bill Bonner, Cal Craft, Hal Hamilton, Irma Ingram"
3x4,Easy,"A number of new space probes were launched this year, each from a different country.  Using only the clues that follow, match each probe to the country that launched it, and determine the month it launched and its eventual destination. Remember, as with all grid-based logic puzzles, no option in any category will ever be used more than once.  If you get stuck or run into problems, try the ""Clear Errors"" button to remove any mistakes that might be present on the grid, or the ""Hint"" button to see the next logical step in the puzzle.","1.The Loakuk launched in April.
2.The Iunsel launched 2 months after the mission going to Titan.
3.The Loakuk is either the probe that launched in March or the mission going to Mars.
4.The Raiukan is going to Europa.","+----------+----------+----------------+
| Months   | Probes   | Destinations   |
+==========+==========+================+
| January  |          |                |
+----------+----------+----------------+
| February |          |                |
+----------+----------+----------------+
| March    |          |                |
+----------+----------+----------------+
| April    |          |                |
+----------+----------+----------------+","Probes: Iunsel, Loakuk, Raiukan, Varo
Destinations: Europa, Ganymede, Mars, Titan","
Story:
A number of new space probes were launched this year, each from a different country.  Using only the clues that follow, match each probe to the country that launched it, and determine the month it launched and its eventual destination. Remember, as with all grid-based logic puzzles, no option in any category will ever be used more than once.  If you get stuck or run into problems, try the ""Clear Errors"" button to remove any mistakes that might be present on the grid, or the ""Hint"" button to see the next logical step in the puzzle.

Clues:
1.The Loakuk launched in April.
2.The Iunsel launched 2 months after the mission going to Titan.
3.The Loakuk is either the probe that launched in March or the mission going to Mars.
4.The Raiukan is going to Europa.

Solve the grid puzzle by filling the table:
+----------+----------+----------------+
| Months   | Probes   | Destinations   |
+==========+==========+================+
| January  |          |                |
+----------+----------+----------------+
| February |          |                |
+----------+----------+----------------+
| March    |          |                |
+----------+----------+----------------+
| April    |          |                |
+----------+----------+----------------+

Use the clues to fill the table with the following categories:
Probes: Iunsel, Loakuk, Raiukan, Varo
Destinations: Europa, Ganymede, Mars, Titan"
3x4,Easy,"The Willowbrook Museum has borrowed antique dolls from private collectors for its holiday exhibit, and curator Nora is cataloging each one before the opening.  Determine the age of each doll, its country of origin, the material its head is made from, and the collector who owns it. Remember, as with all grid-based logic puzzles, no option in any category will ever be used more than once.  If you get stuck or run into problems, try the ""Clear Errors"" button to remove any mistakes that might be present on the grid, or the ""Hint"" button to see the next logical step in the puzzle.","1.The piece from Germany is 10 years older than the wax piece.
2.The doll from France has a glass head.
3.The figure from Japan is 5 years younger than the glass figure.
4.The figure from England has a papier-mache head.
5.The figure from England is somewhat older than the piece from Japan.","+--------+-----------+-------------+
|   Ages | Origins   | Materials   |
+========+===========+=============+
|     75 |           |             |
+--------+-----------+-------------+
|     80 |           |             |
+--------+-----------+-------------+
|     85 |           |             |
+--------+-----------+-------------+
|     90 |           |             |
+--------+-----------+-------------+","Origins: England, France, Germany, Japan
Materials: glass, papier-mache, porcelain, wax","
Story:
The Willowbrook Museum has borrowed antique dolls from private collectors for its holiday exhibit, and curator Nora is cataloging each one before the opening.  Determine the age of each doll, its country of origin, the material its head is made from, and the collector who owns it. Remember, as with all grid-based logic puzzles, no option in any category will ever be used more than once.  If you get stuck or run into problems, try the ""Clear Errors"" button to remove any mistakes that might be present on the grid, or the ""Hint"" button to see the next logical step in the puzzle.

Clues:
1.The piece from Germany is 10 years older than the wax piece.
2.The doll from France has a glass head.
3.The figure from Japan is 5 years younger than the glass figure.
4.The figure from England has a papier-mache head.
5.The figure from England is somewhat older than the piece from Japan.

Solve the grid puzzle by filling the table:
+--------+-----------+-------------+
|   Ages | Origins   | Materials   |
+========+===========+=============+
|     75 |           |             |
+--------+-----------+-------------+
|     80 |           |             |
+--------+-----------+-------------+
|     85 |           |             |
+--------+-----------+-------------+
|     90 |           |             |
+--------+-----------+-------------+

Use the clues to fill the table with the following categories:
Origins: England, France, Germany, Japan
Materials: glass, papier-mache, porcelain, wax"
3x4,Easy,"""Parties Unlimited"" caters to a wide variety of special requests (such as clowns or magicians) for its clients.  Using only the clues below, match each of this week's bookings with its date, family and special request, and determine the location of each. Remember, as with all grid-based logic puzzles, no option in any category will ever be used more than once.  If you get stuck or run into problems, try the ""Clear Errors"" button to remove any mistakes that might be present on the grid, or the ""Hint"" button to see the next logical step in the puzzle.","1.The Underwood family party is 2 days before the booking that requested the clown.
2.The booking that requested the rock band is for the Underwoods.
3.The booking that requested the photo booth is 1 day before the O'Connor family party.
4.The Benton family event is sometime after the event that requested the magician.","+-----------+------------+------------+
| Days      | Requests   | Families   |
+===========+============+============+
| October 3 |            |            |
+-----------+------------+------------+
| October 4 |            |            |
+-----------+------------+------------+
| October 5 |            |            |
+-----------+------------+------------+
| October 6 |            |            |
+-----------+------------+------------+","Requests: clown, magician, photo booth, rock band
Families: Benton, Ford, O\'Connor, Underwood","
Story:
""Parties Unlimited"" caters to a wide variety of special requests (such as clowns or magicians) for its clients.  Using only the clues below, match each of this week's bookings with its date, family and special request, and determine the location of each. Remember, as with all grid-based logic puzzles, no option in any category will ever be used more than once.  If you get stuck or run into problems, try the ""Clear Errors"" button to remove any mistakes that might be present on the grid, or the ""Hint"" button to see the next logical step in the puzzle.

Clues:
1.The Underwood family party is 2 days before the booking that requested the clown.
2.The booking that requested the rock band is for the Underwoods.
3.The booking that requested the photo booth is 1 day before the O'Connor family party.
4.The Benton family event is sometime after the event that requested the magician.

Solve the grid puzzle by filling the table:
+-----------+------------+------------+
| Days      | Requests   | Families   |
+===========+============+============+
| October 3 |            |            |
+-----------+------------+------------+
| October 4 |            |            |
+-----------+------------+------------+
| October 5 |            |            |
+-----------+------------+------------+
| October 6 |            |            |
+-----------+------------+------------+

Use the clues to fill the table with the following categories:
Requests: clown, magician, photo booth, rock band
Families: Benton, Ford, O\'Connor, Underwood"
3x4,Easy,"The Lakeside Amusement Park hired a team of craftspeople to restore its century-old carousel, and each artisan took on a different carved figure.  Determine how many hours each restoration took, the type of figure, its original condition, and the craftsperson who completed it. Remember, as with all grid-based logic puzzles, no option in any category will ever be used more than once.  If you get stuck or run into problems, try the ""Clear Errors"" button to remove any mistakes that might be present on the grid, or the ""Hint"" button to see the next logical step in the puzzle.","1.The faded animal was either the chariot figure or the lion figure.
2.The ostrich figure required 10 fewer hours to restore than the horse figure.
3.The chariot figure required 20 fewer hours to restore than the cracked piece.
4.The ostrich animal was either the piece that took 50 hours to restore or the animal that took 70 hours to restore.
5.The lion piece was rotted.","+----------+----------------+--------------+
| Times    | Figure Types   | Conditions   |
+==========+================+==============+
| 40 hours |                |              |
+----------+----------------+--------------+
| 50 hours |                |              |
+----------+----------------+--------------+
| 60 hours |                |              |
+----------+----------------+--------------+
| 70 hours |                |              |
+----------+----------------+--------------+","Figure Types: chariot, horse, lion, ostrich
Conditions: cracked, faded, rotted, warped","
Story:
The Lakeside Amusement Park hired a team of craftspeople to restore its century-old carousel, and each artisan took on a different carved figure.  Determine how many hours each restoration took, the type of figure, its original condition, and the craftsperson who completed it. Remember, as with all grid-based logic puzzles, no option in any category will ever be used more than once.  If you get stuck or run into problems, try the ""Clear Errors"" button to remove any mistakes that might be present on the grid, or the ""Hint"" button to see the next logical step in the puzzle.

Clues:
1.The faded animal was either the chariot figure or the lion figure.
2.The ostrich figure required 10 fewer hours to restore than the horse figure.
3.The chariot figure required 20 fewer hours to restore than the cracked piece.
4.The ostrich animal was either the piece that took 50 hours to restore or the animal that took 70 hours to restore.
5.The lion piece was rotted.

Solve the grid puzzle by filling the table:
+----------+----------------+--------------+
| Times    | Figure Types   | Conditions   |
+==========+================+==============+
| 40 hours |                |              |
+----------+----------------+--------------+
| 50 hours |                |              |
+----------+----------------+--------------+
| 60 hours |                |              |
+----------+----------------+--------------+
| 70 hours |                |              |
+----------+----------------+--------------+

Use the clues to fill the table with the following categories:
Figure Types: chariot, horse, lion, ostrich
Conditions: cracked, faded, rotted, warped"
3x4,Easy,"A prize has been announced, awarding $50 million to the first privately-owned company to successfully send a probe to Neptune.  Using only the clues that follow, match each company to its rocket and home country, and determine the month in which it will launch its probe. Remember, as with all grid-based logic puzzles, no option in any category will ever be used more than once.  If you get stuck or run into problems, try the ""Clear Errors"" button to remove any mistakes that might be present on the grid, or the ""Hint"" button to see the next logical step in the puzzle.","1.The rocket developed by Vexatech will launch 1 month after the Exatris.
2.The rocket developed by SpaceZen will launch sometime after the Beritron.
3.The Worul is made by Techtrin.
4.The Exatris will launch in January.
5.The Cornick is either the rocket that will launch in April or the rocket developed by Rubicorp.","+----------+---------+-------------+
| Months   | Names   | Companies   |
+==========+=========+=============+
| January  |         |             |
+----------+---------+-------------+
| February |         |             |
+----------+---------+-------------+
| March    |         |             |
+----------+---------+-------------+
| April    |         |             |
+----------+---------+-------------+","Names: Beritron, Cornick, Exatris, Worul
Companies: Rubicorp, SpaceZen, Techtrin, Vexatech","
Story:
A prize has been announced, awarding $50 million to the first privately-owned company to successfully send a probe to Neptune.  Using only the clues that follow, match each company to its rocket and home country, and determine the month in which it will launch its probe. Remember, as with all grid-based logic puzzles, no option in any category will ever be used more than once.  If you get stuck or run into problems, try the ""Clear Errors"" button to remove any mistakes that might be present on the grid, or the ""Hint"" button to see the next logical step in the puzzle.

Clues:
1.The rocket developed by Vexatech will launch 1 month after the Exatris.
2.The rocket developed by SpaceZen will launch sometime after the Beritron.
3.The Worul is made by Techtrin.
4.The Exatris will launch in January.
5.The Cornick is either the rocket that will launch in April or the rocket developed by Rubicorp.

Solve the grid puzzle by filling the table:
+----------+---------+-------------+
| Months   | Names   | Companies   |
+==========+=========+=============+
| January  |         |             |
+----------+---------+-------------+
| February |         |             |
+----------+---------+-------------+
| March    |         |             |
+----------+---------+-------------+
| April    |         |             |
+----------+---------+-------------+

Use the clues to fill the table with the following categories:
Names: Beritron, Cornick, Exatris, Worul
Companies: Rubicorp, SpaceZen, Techtrin, Vexatech"
3x4,Easy,"Badgerville High's football team has selected its roster of most valuable players for the year.  Using only the clues below, match each player to his position and jersey number, and determine the number of games he played last season. Remember, as with all grid-based logic puzzles, no option in any category will ever be used more than once.  If you get stuck or run into problems, try the ""Clear Errors"" button to remove any mistakes that might be present on the grid, or the ""Hint"" button to see the next logical step in the puzzle.","1.Donald Davis played one game less than the defensive back.
2.Ned Navarro is the placekicker.
3.The person who played in 5 games last season is either the quarterback or Gordon Gregg.
4.Edward Ellis played 5 games last season.","+---------+-----------+-------------+
|   Games | Players   | Positions   |
+=========+===========+=============+
|       3 |           |             |
+---------+-----------+-------------+
|       4 |           |             |
+---------+-----------+-------------+
|       5 |           |             |
+---------+-----------+-------------+
|       6 |           |             |
+---------+-----------+-------------+","Players: Donald Davis, Edward Ellis, Gordon Gregg, Ned Navarro
Positions: center, defensive back, placekicker, quarterback","
Story:
Badgerville High's football team has selected its roster of most valuable players for the year.  Using only the clues below, match each player to his position and jersey number, and determine the number of games he played last season. Remember, as with all grid-based logic puzzles, no option in any category will ever be used more than once.  If you get stuck or run into problems, try the ""Clear Errors"" button to remove any mistakes that might be present on the grid, or the ""Hint"" button to see the next logical step in the puzzle.

Clues:
1.Donald Davis played one game less than the defensive back.
2.Ned Navarro is the placekicker.
3.The person who played in 5 games last season is either the quarterback or Gordon Gregg.
4.Edward Ellis played 5 games last season.

Solve the grid puzzle by filling the table:
+---------+-----------+-------------+
|   Games | Players   | Positions   |
+=========+===========+=============+
|       3 |           |             |
+---------+-----------+-------------+
|       4 |           |             |
+---------+-----------+-------------+
|       5 |           |             |
+---------+-----------+-------------+
|       6 |           |             |
+---------+-----------+-------------+

Use the clues to fill the table with the following categories:
Players: Donald Davis, Edward Ellis, Gordon Gregg, Ned Navarro
Positions: center, defensive back, placekicker, quarterback"
3x4,Easy,"This year's Oscar nominations were announced this morning!  Using only the clues below, match each of these films to its director and total number of nominations received, and determine the genre of each. Remember, as with all grid-based logic puzzles, no option in any category will ever be used more than once.  If you get stuck or run into problems, try the ""Clear Errors"" button to remove any mistakes that might be present on the grid, or the ""Hint"" button to see the next logical step in the puzzle.","1.Fatal Sheen was directed by Danny Trevor.
2.Wild Ones is either the film that received 5 nominations or the movie directed by Adrienne Day.
3.Maximum Risk received 2 more nominations than the film directed by Virgil Katz.
4.Wild Ones got 4 nominations.","+---------------+----------+-------------+
|   Nominations | Movies   | Directors   |
+===============+==========+=============+
|             2 |          |             |
+---------------+----------+-------------+
|             3 |          |             |
+---------------+----------+-------------+
|             4 |          |             |
+---------------+----------+-------------+
|             5 |          |             |
+---------------+----------+-------------+","Movies: Fatal Sheen, Maximum Risk, Sea of Dreams, Wild Ones
Directors: Adrienne Day, Danny Trevor, Maddie Mintz, Virgil Katz","
Story:
This year's Oscar nominations were announced this morning!  Using only the clues below, match each of these films to its director and total number of nominations received, and determine the genre of each. Remember, as with all grid-based logic puzzles, no option in any category will ever be used more than once.  If you get stuck or run into problems, try the ""Clear Errors"" button to remove any mistakes that might be present on the grid, or the ""Hint"" button to see the next logical step in the puzzle.

Clues:
1.Fatal Sheen was directed by Danny Trevor.
2.Wild Ones is either the film that received 5 nominations or the movie directed by Adrienne Day.
3.Maximum Risk received 2 more nominations than the film directed by Virgil Katz.
4.Wild Ones got 4 nominations.

Solve the grid puzzle by filling the table:
+---------------+----------+-------------+
|   Nominations | Movies   | Directors   |
+===============+==========+=============+
|             2 |          |             |
+---------------+----------+-------------+
|             3 |          |             |
+---------------+----------+-------------+
|             4 |          |             |
+---------------+----------+-------------+
|             5 |          |             |
+---------------+----------+-------------+

Use the clues to fill the table with the following categories:
Movies: Fatal Sheen, Maximum Risk, Sea of Dreams, Wild Ones
Directors: Adrienne Day, Danny Trevor, Maddie Mintz, Virgil Katz"
